Booking_Status,Vehicle_Type,Booking_Value,day_of_week,hour
Success,Prime SUV,502,Friday,4
Canceled by Customer,Prime Sedan,134,Tuesday,17
Canceled by Customer,Bike,145,Sunday,5
Canceled by Customer,Bike,369,Wednesday,7
Success,Auto,417,Wednesday,19
Success,Prime SUV,604,Friday,21
Success,Auto,210,Thursday,22
Canceled by Driver,Prime Plus,366,Wednesday,4
Canceled by Customer,Prime SUV,624,Sunday,19
Canceled by Driver,Mini,277,Tuesday,3
Success,Mini,230,Sunday,18
Canceled by Driver,Mini,108,Wednesday,22
Canceled by Driver,Prime Sedan,589,Wednesday,7
Canceled by Driver,Prime Plus,2886,Monday,2
Driver Not Found,Bike,459,Monday,23
Success,Prime Plus,2035,Sunday,14
Canceled by Driver,Prime Sedan,852,Saturday,20
Canceled by Driver,eBike,1413,Monday,10
Driver Not Found,Bike,742,Friday,20
Success,eBike,432,Friday,18
Success,Mini,228,Tuesday,18
Canceled by Driver,eBike,209,Saturday,19
Success,Auto,1862,Tuesday,23
Canceled by Customer,Auto,378,Thursday,8
Success,Prime Sedan,414,Monday,0
Success,Auto,406,Monday,4
Success,Mini,389,Wednesday,16
Success,Prime Plus,104,Sunday,14
Driver Not Found,eBike,1413,Saturday,0
Success,eBike,391,Saturday,2
Canceled by Customer,Auto,948,Friday,18
Success,Auto,751,Friday,23
Canceled by Driver,Mini,517,Monday,9
Canceled by Customer,Prime SUV,333,Wednesday,2
Success,Mini,468,Saturday,9
Driver Not Found,Mini,2209,Saturday,22
Success,Bike,212,Sunday,0
Canceled by Customer,Auto,154,Sunday,6
Success,Mini,242,Thursday,0
Canceled by Driver,eBike,302,Monday,18
Success,Bike,418,Monday,16
Canceled by Customer,Auto,962,Friday,9
Driver Not Found,Mini,438,Sunday,11
Success,Prime Sedan,334,Saturday,8
Canceled by Driver,Auto,216,Friday,10
Success,Prime SUV,422,Friday,8
Success,Prime Plus,321,Monday,2
Driver Not Found,Prime SUV,205,Wednesday,4
Success,Auto,209,Tuesday,20
Success,Mini,129,Saturday,16
Canceled by Driver,Mini,226,Wednesday,21
Success,Prime SUV,2718,Saturday,16
Success,Prime Sedan,439,Friday,4
Success,eBike,1546,Monday,11
Success,Prime Plus,889,Wednesday,13
Success,Bike,365,Friday,6
Success,Mini,531,Sunday,2
Driver Not Found,Mini,435,Friday,12
Canceled by Customer,Auto,177,Tuesday,9
Success,eBike,468,Thursday,13
Success,eBike,193,Monday,17
Success,Auto,395,Saturday,14
Success,Prime SUV,478,Thursday,21
Success,Auto,441,Tuesday,4
Canceled by Driver,Prime Plus,1322,Monday,21
Success,Mini,327,Thursday,23
Driver Not Found,Auto,2095,Thursday,12
Success,Prime Sedan,572,Monday,13
Canceled by Driver,Auto,244,Thursday,14
Success,Bike,393,Wednesday,15
Success,Prime Plus,194,Wednesday,15
Success,Bike,262,Friday,12
Canceled by Driver,Auto,172,Thursday,13
Success,Auto,433,Sunday,8
Driver Not Found,Auto,197,Friday,2
Canceled by Customer,Mini,362,Tuesday,4
Canceled by Driver,Prime Sedan,165,Friday,9
Driver Not Found,Prime Plus,2886,Saturday,2
Canceled by Driver,Prime SUV,959,Saturday,0
Driver Not Found,Bike,175,Wednesday,2
Success,Mini,115,Tuesday,22
Success,Bike,308,Monday,3
Success,Prime Plus,370,Monday,22
Success,Prime Sedan,491,Monday,3
Success,Auto,207,Saturday,21
Canceled by Driver,Mini,1978,Monday,17
Canceled by Driver,Prime Plus,357,Wednesday,13
Success,Mini,123,Saturday,4
Success,Prime Plus,337,Tuesday,3
Canceled by Customer,Bike,163,Friday,16
Driver Not Found,Auto,329,Friday,6
Success,Prime SUV,319,Monday,17
Success,Auto,311,Wednesday,12
Canceled by Customer,Auto,144,Wednesday,11
Canceled by Driver,Bike,118,Friday,9
Success,Mini,1343,Wednesday,17
Success,Mini,154,Tuesday,8
Success,eBike,106,Sunday,15
Canceled by Driver,Prime Plus,135,Thursday,20
Success,Mini,1587,Sunday,11
Canceled by Driver,Prime Sedan,232,Thursday,19
Success,Prime Sedan,145,Saturday,11
Success,Mini,438,Friday,10
Canceled by Driver,Bike,137,Tuesday,1
Success,Prime Plus,275,Sunday,21
Canceled by Driver,Auto,307,Sunday,6
Success,Prime SUV,212,Friday,4
Success,Prime SUV,992,Monday,19
Canceled by Customer,Prime Plus,939,Friday,0
Success,Auto,506,Monday,5
Success,Prime Plus,2439,Saturday,8
Success,Auto,1097,Wednesday,15
Canceled by Customer,Prime Sedan,861,Wednesday,4
Success,Mini,2908,Monday,1
Canceled by Driver,Prime Sedan,302,Wednesday,16
Canceled by Customer,Auto,231,Sunday,15
Canceled by Customer,eBike,295,Saturday,8
Driver Not Found,Mini,251,Tuesday,23
Driver Not Found,eBike,941,Wednesday,21
Driver Not Found,Bike,1628,Wednesday,2
Success,Prime Plus,318,Sunday,15
Driver Not Found,Prime Plus,150,Sunday,10
Success,Auto,1555,Wednesday,2
Canceled by Driver,Bike,166,Wednesday,11
Success,Mini,442,Sunday,12
Driver Not Found,eBike,362,Friday,7
Success,eBike,323,Wednesday,12
Success,Prime SUV,244,Sunday,1
Success,Prime Plus,329,Saturday,8
Driver Not Found,Prime Sedan,973,Monday,12
Driver Not Found,Prime Sedan,457,Saturday,4
Canceled by Driver,Prime SUV,111,Thursday,4
Canceled by Driver,Bike,496,Thursday,2
Success,Prime Sedan,532,Saturday,4
Success,eBike,176,Thursday,8
Success,Bike,320,Thursday,6
Success,eBike,581,Monday,13
Success,Prime Sedan,2480,Thursday,6
Success,eBike,154,Thursday,7
Success,Bike,160,Monday,3
Success,Prime Sedan,961,Saturday,1
Success,Auto,315,Thursday,3
Success,Bike,253,Sunday,19
Canceled by Driver,eBike,702,Sunday,20
Success,Prime SUV,969,Thursday,14
Canceled by Driver,Auto,190,Saturday,5
Canceled by Driver,Mini,356,Wednesday,4
Success,Prime Sedan,316,Sunday,2
Success,Prime Sedan,2014,Saturday,12
Driver Not Found,eBike,182,Thursday,1
Success,Auto,546,Monday,12
Success,Prime Sedan,317,Saturday,8
Canceled by Driver,Prime Plus,293,Saturday,20
Canceled by Customer,Prime Plus,135,Monday,23
Success,Prime SUV,155,Tuesday,0
Success,Prime Sedan,277,Thursday,23
Success,Bike,155,Tuesday,21
Success,Bike,204,Monday,14
Success,Mini,346,Friday,4
Success,Auto,631,Tuesday,0
Canceled by Customer,Prime Sedan,1352,Wednesday,19
Success,Bike,398,Wednesday,10
Success,Prime SUV,279,Saturday,18
Success,Mini,255,Saturday,16
Success,Prime Plus,2339,Sunday,11
Driver Not Found,Auto,326,Monday,6
Canceled by Driver,Prime Plus,125,Thursday,16
Success,eBike,242,Wednesday,12
Driver Not Found,Prime Plus,354,Thursday,9
Driver Not Found,eBike,2374,Thursday,15
Success,Mini,174,Sunday,21
Canceled by Driver,Bike,404,Sunday,15
Success,Prime Sedan,351,Tuesday,16
Canceled by Driver,eBike,397,Wednesday,9
Canceled by Driver,Mini,161,Friday,17
Success,eBike,165,Friday,17
Canceled by Customer,Prime SUV,396,Wednesday,10
Canceled by Driver,eBike,232,Thursday,19
Canceled by Driver,Prime Plus,371,Wednesday,15
Success,Prime Sedan,895,Saturday,3
Success,Prime Plus,263,Thursday,14
Success,eBike,427,Saturday,6
Success,Mini,944,Saturday,13
Canceled by Customer,Auto,2174,Sunday,0
Driver Not Found,Mini,788,Monday,3
Canceled by Customer,Prime Sedan,367,Thursday,13
Success,Mini,695,Monday,0
Success,Mini,142,Tuesday,17
Success,Prime Sedan,259,Monday,15
Success,Auto,298,Monday,14
Canceled by Driver,Prime SUV,173,Friday,17
Canceled by Driver,Prime Plus,2878,Monday,3
Success,Mini,466,Friday,13
Success,Prime SUV,1760,Tuesday,6
Success,Prime Sedan,157,Saturday,20
Canceled by Customer,Prime SUV,214,Friday,19
Canceled by Customer,Bike,169,Saturday,22
Success,eBike,418,Wednesday,15
Canceled by Customer,Mini,752,Saturday,1
Canceled by Customer,Prime Plus,485,Wednesday,15
Canceled by Customer,Prime Sedan,196,Wednesday,12
Success,Prime Plus,339,Saturday,5
Canceled by Customer,Prime SUV,789,Tuesday,2
Success,Auto,357,Monday,9
Success,Prime SUV,283,Sunday,20
Driver Not Found,Prime Plus,895,Monday,0
Driver Not Found,Prime Plus,379,Saturday,4
