Vehicle Type,Booking Value,Ride Distance,Avg VTAT,Avg CTAT,Driver Ratings,Customer Rating,Payment Method
Go Mini,106.0,23.43,7.0,43.0,3.6,4.6,Cash
Go Sedan,173.0,11.91,7.4,39.1,4.2,4.9,Uber Wallet
Go Sedan,565.0,32.22,6.3,16.2,4.4,3.9,UPI
Bike,763.0,5.03,9.0,42.9,4.9,4.4,UPI
Auto,461.0,17.87,9.5,15.4,3.7,4.3,UPI
Premier Sedan,216.0,31.05,6.8,41.8,3.7,4.3,Cash
eBike,217.0,41.26,14.4,34.7,4.6,5.0,Credit Card
Uber XL,142.0,26.43,12.2,33.0,4.5,4.7,UPI
Bike,912.0,4.05,9.1,19.8,4.3,4.2,Cash
Uber XL,689.0,24.74,4.6,33.7,4.2,4.9,UPI
Auto,366.0,16.63,14.7,15.7,4.8,4.5,UPI
Bike,308.0,35.82,2.2,16.6,3.5,4.1,UPI
eBike,433.0,35.41,12.9,24.1,3.9,4.6,UPI
Auto,416.0,43.09,8.4,32.2,4.7,4.1,Credit Card
Auto,143.0,13.74,12.4,22.3,4.1,4.9,Cash
Premier Sedan,857.0,23.79,8.4,35.6,3.2,5.0,Debit Card
Bike,363.0,14.32,13.9,39.9,4.3,4.9,Credit Card
Go Sedan,407.0,10.87,4.1,37.7,3.4,4.3,UPI
Go Sedan,752.0,12.1,10.0,31.3,3.7,4.7,Uber Wallet
eBike,451.0,21.83,5.3,44.8,4.7,4.6,UPI
Go Mini,1563.0,10.06,11.1,40.8,3.8,4.6,Uber Wallet
Bike,84.0,11.2,6.5,22.9,4.2,4.7,UPI
Auto,328.0,21.44,12.0,31.3,3.2,4.5,Cash
Auto,339.0,34.4,8.1,29.6,4.4,3.8,Cash
eBike,248.0,26.56,7.4,36.3,4.6,4.3,Cash
Auto,1276.0,14.58,2.4,44.1,3.9,4.3,UPI
Bike,601.0,48.68,7.7,24.9,3.1,4.3,UPI
Bike,157.0,15.9,14.5,20.1,4.8,4.5,Cash
Premier Sedan,731.0,46.5,6.8,43.6,4.3,4.5,Credit Card
Premier Sedan,491.0,11.67,8.6,37.5,4.6,4.6,Cash
Go Mini,1046.0,31.85,3.4,17.2,4.4,3.3,Credit Card
Go Mini,263.0,20.23,10.6,26.1,4.3,3.8,UPI
Go Mini,361.0,20.84,3.2,36.8,4.4,4.7,UPI
Bike,198.0,3.44,9.8,31.4,4.7,4.5,Cash
Go Mini,848.0,31.73,8.3,21.7,4.3,4.6,UPI
Go Mini,1213.0,32.97,14.4,40.2,3.7,4.3,UPI
Go Sedan,267.0,39.84,2.1,34.5,4.4,4.7,Credit Card
Auto,144.0,9.91,10.6,24.2,4.6,4.6,Cash
Bike,402.0,22.0,3.8,27.5,4.3,4.8,UPI
Bike,640.0,8.95,14.0,21.3,4.6,4.2,Uber Wallet
Go Sedan,492.0,38.7,8.5,36.3,3.2,4.2,Cash
eBike,564.0,47.93,9.9,37.0,3.4,3.2,UPI
Auto,122.0,42.13,9.3,40.0,4.4,4.0,Credit Card
Bike,435.0,11.13,10.5,37.4,4.9,4.2,Credit Card
Auto,109.0,10.97,11.2,25.6,3.7,4.2,Uber Wallet
Bike,227.0,23.82,10.9,33.9,4.3,4.2,Cash
Auto,375.0,16.47,6.9,39.5,4.4,4.0,Debit Card
Go Sedan,195.0,48.16,7.9,41.8,3.4,4.2,UPI
Go Mini,250.0,16.23,14.6,26.5,4.7,4.2,Credit Card
Go Mini,884.0,15.24,6.1,25.2,4.0,4.4,UPI
Premier Sedan,471.0,24.98,6.6,20.1,3.8,5.0,UPI
eBike,874.0,33.48,4.1,20.9,3.8,4.8,Credit Card
Auto,214.0,13.95,14.9,20.3,4.2,4.3,Credit Card
Auto,348.0,16.01,9.5,44.5,4.2,4.3,Credit Card
eBike,508.0,35.08,10.4,26.2,4.4,4.9,UPI
Go Mini,635.0,29.92,9.1,35.3,4.9,4.7,Credit Card
Auto,1131.0,44.48,11.5,28.8,4.8,4.9,UPI
Premier Sedan,471.0,15.84,4.9,27.0,3.7,4.6,Cash
Go Mini,251.0,39.37,5.4,29.1,4.2,3.7,Uber Wallet
Go Sedan,361.0,8.66,10.6,37.9,3.6,4.8,Uber Wallet
Auto,353.0,27.56,4.1,27.8,4.2,4.7,Uber Wallet
Go Mini,61.0,14.07,10.9,38.0,4.2,3.4,Cash
Bike,146.0,20.13,14.5,32.6,4.5,4.6,Debit Card
eBike,65.0,49.41,11.1,20.9,5.0,4.7,Uber Wallet
Auto,785.0,20.25,12.3,41.5,3.8,3.3,UPI
Go Sedan,665.0,45.5,2.3,17.6,3.8,3.9,Credit Card
Auto,274.0,40.82,4.6,27.9,4.9,4.4,UPI
Auto,473.0,26.62,9.1,44.8,4.9,4.3,UPI
Go Sedan,86.0,13.78,14.5,40.8,5.0,4.5,Cash
Go Mini,162.0,46.2,4.1,39.2,5.0,4.6,UPI
Auto,924.0,47.89,6.8,16.7,4.6,4.8,Uber Wallet
Go Sedan,187.0,36.38,6.0,44.9,3.8,3.5,UPI
Bike,209.0,36.5,10.0,30.2,4.4,4.5,Cash
Go Mini,120.0,27.65,4.0,40.1,4.3,4.5,Cash
Go Mini,460.0,44.56,5.6,36.9,3.6,4.5,UPI
Uber XL,81.0,15.87,8.4,33.1,4.0,5.0,UPI
Go Mini,219.0,32.0,2.4,16.9,4.6,4.1,Credit Card
Premier Sedan,1007.0,11.09,4.6,27.4,3.8,5.0,UPI
Auto,121.0,6.45,6.2,41.6,4.3,4.2,UPI
Premier Sedan,552.0,16.39,10.2,20.4,4.3,3.0,Cash
Auto,556.0,42.25,11.3,29.8,4.4,4.6,UPI
Bike,807.0,15.02,4.8,42.1,4.5,4.7,Cash
Auto,1483.0,43.59,7.0,18.2,4.9,4.3,UPI
Auto,419.0,4.38,13.8,43.6,4.2,3.9,UPI
Auto,275.0,47.71,2.1,38.7,4.3,4.8,UPI
eBike,1015.0,26.42,6.2,15.9,4.3,4.3,UPI
Go Sedan,331.0,30.33,5.2,30.0,4.9,4.9,UPI
Go Sedan,404.0,39.06,5.4,24.3,4.2,4.6,UPI
Go Sedan,909.0,31.98,3.0,40.2,4.7,4.6,Credit Card
Bike,580.0,32.72,14.9,32.7,4.2,4.1,UPI
Go Sedan,431.0,23.5,6.2,44.0,4.3,4.3,Uber Wallet
Go Sedan,748.0,23.53,13.6,22.6,3.9,4.4,Cash
Bike,198.0,35.23,5.2,28.8,4.3,4.6,Cash
Auto,71.0,30.48,3.0,30.3,4.5,4.8,Credit Card
Bike,213.0,12.76,2.9,16.6,3.6,4.5,UPI
