fare_amount,distance_km,passenger_count,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,pickup_year
3.7,0.6136829166404174,2,21,Monday,February,0,2011
4.5,0.44391618372701613,1,15,Wednesday,October,0,2009
8.9,2.8217056643551017,1,14,Sunday,January,1,2010
5.3,1.5653221194450602,1,0,Wednesday,November,0,2009
6.5,1.4813116981996193,1,7,Thursday,November,0,2014
20.5,8.865289756123172,1,6,Wednesday,July,0,2014
18.5,5.884072299135088,1,19,Wednesday,October,0,2012
7.0,1.385596029290815,1,4,Monday,March,0,2013
6.0,1.1292749320298907,3,8,Tuesday,October,0,2014
8.0,1.357169840184112,1,19,Wednesday,June,0,2013
27.5,10.38482074410474,1,23,Monday,February,0,2014
4.1,0.496191188164827,1,13,Tuesday,June,0,2011
3.5,0.2872870633796017,1,11,Saturday,January,1,2015
20.5,6.925465238616337,1,15,Thursday,April,0,2015
5.0,0.3874948412289698,6,15,Thursday,May,0,2015
6.1,0.6773032897278614,1,12,Tuesday,November,0,2011
6.5,2.33198838295251,5,19,Saturday,June,1,2012
13.3,4.61285637401282,1,20,Thursday,November,0,2011
10.9,4.252486449333537,1,19,Friday,June,0,2010
7.5,1.078290542660088,1,12,Wednesday,November,0,2012
9.5,2.735775026874135,3,22,Sunday,July,1,2013
3.3,0.7360766996428756,1,16,Monday,June,0,2012
8.5,1.6278290028110045,2,19,Wednesday,May,0,2013
7.3,1.8818054375550626,1,23,Tuesday,April,0,2012
7.3,2.087486567133684,1,23,Monday,September,0,2011
10.5,2.6944859484445076,1,18,Tuesday,July,0,2014
22.27,6.26930697536718,2,20,Friday,October,0,2009
12.1,4.288617124706989,1,19,Monday,February,0,2010
9.0,0.8012283945074526,1,14,Friday,January,0,2014
29.3,11.21368959511022,5,20,Sunday,November,1,2011
6.5,1.3274448623551087,1,10,Thursday,June,0,2012
9.3,1.8452364788640148,1,8,Friday,June,0,2010
4.5,1.2179250993617599,1,0,Friday,May,0,2009
16.0,3.5120759778135207,1,10,Wednesday,August,0,2014
4.5,0.6767471483738385,1,15,Thursday,August,0,2012
6.0,1.1998036549016522,1,15,Sunday,September,1,2012
4.5,0.868020655153385,1,18,Friday,January,0,2015
7.5,1.8386150911573236,1,11,Sunday,September,1,2013
14.0,3.806063611022184,3,10,Tuesday,December,0,2014
4.9,1.0036494769772466,5,22,Monday,November,0,2011
6.9,1.8704637008716885,1,8,Thursday,September,0,2009
10.9,3.898088261728975,2,21,Thursday,February,0,2012
16.0,4.221349266326025,1,12,Wednesday,March,0,2014
8.1,1.82475673167168,1,15,Tuesday,February,0,2010
5.3,0.1356220520751528,1,18,Tuesday,April,0,2010
15.7,4.79363192605295,1,22,Sunday,May,1,2012
9.5,1.721084744697569,1,21,Wednesday,July,0,2014
16.5,6.153203839253716,1,3,Sunday,October,1,2014
6.9,0.8484245963227977,2,1,Sunday,January,1,2011
10.5,4.239982092939791,1,1,Thursday,August,0,2012
35.5,8.969395403505791,1,16,Friday,March,0,2013
6.0,1.7126948353683293,2,21,Saturday,December,1,2013
4.5,1.1100293634080147,1,16,Tuesday,August,0,2011
4.1,1.3337704064283997,2,1,Sunday,July,1,2011
15.0,4.856004776154549,2,22,Tuesday,July,0,2014
2.5,0.6633813989552935,1,20,Tuesday,June,0,2009
14.5,2.98206587346492,1,19,Tuesday,October,0,2013
7.0,2.1387734878120113,1,22,Friday,July,0,2013
9.0,1.6578815355580945,1,10,Monday,September,0,2013
5.0,1.0343299828602102,1,6,Friday,January,0,2013
25.3,8.561666558988614,1,21,Thursday,April,0,2012
4.9,1.5998388468450422,1,6,Thursday,June,0,2010
14.9,6.961603116783533,1,17,Friday,May,0,2010
8.0,1.9159247519241207,3,17,Tuesday,August,0,2013
22.9,10.823381037606532,2,0,Monday,February,0,2011
12.5,3.7392590146646145,1,8,Friday,November,0,2012
10.0,1.7466538790772839,2,13,Saturday,March,1,2013
2.9,0.4711740147178211,1,23,Thursday,February,0,2012
8.5,2.3866817612124014,1,8,Monday,January,0,2012
6.5,2.1884947649878335,1,8,Wednesday,March,0,2012
9.0,3.5581294119793605,1,0,Sunday,October,1,2012
4.9,1.3754382933303384,1,20,Friday,January,0,2011
8.0,1.4868116946859233,1,18,Tuesday,September,0,2012
5.0,0.901909380521645,1,9,Wednesday,October,0,2013
8.5,2.297017905656076,5,0,Wednesday,March,0,2011
4.1,0.5978593183998797,2,23,Friday,February,0,2010
10.5,3.160892633806962,1,12,Wednesday,January,0,2010
6.0,2.193955284416216,5,14,Sunday,October,1,2012
9.7,3.0574189483133645,1,6,Monday,November,0,2011
12.1,2.898675612877805,1,8,Monday,July,0,2009
20.0,5.49587998111562,1,14,Thursday,November,0,2012
16.0,6.1978949495680835,3,21,Tuesday,October,0,2013
5.0,0.7426533509402332,5,7,Tuesday,April,0,2015
4.5,1.376645739802751,1,10,Saturday,May,1,2011
25.7,11.79607734461427,1,1,Saturday,July,1,2012
7.5,1.1771715059369017,1,8,Thursday,June,0,2014
21.0,3.8469640311666438,1,10,Monday,February,0,2014
7.3,1.019067483908513,1,10,Saturday,August,1,2012
11.3,3.008535170016669,1,13,Sunday,May,1,2009
5.3,1.3504067855635373,1,21,Friday,November,0,2010
5.3,1.9121487910317438,1,5,Thursday,May,0,2010
4.0,0.5988125023382075,2,4,Monday,March,0,2015
7.7,2.803026978390426,1,15,Thursday,November,0,2009
8.0,1.412259077643906,1,9,Wednesday,January,0,2013
37.47,9.567762491295559,1,8,Wednesday,April,0,2010
9.0,2.0748067709591442,1,21,Thursday,April,0,2014
8.5,1.6691403448765842,5,19,Sunday,August,1,2014
8.0,3.3305766817106455,1,19,Saturday,March,1,2013
6.0,1.484847104966877,1,11,Saturday,October,1,2012
4.5,0.5245657894486747,1,11,Saturday,November,1,2013
16.9,7.191561737119023,1,18,Wednesday,March,0,2011
8.0,1.8017606149654917,5,5,Sunday,March,1,2015
5.3,1.0447956500020168,1,18,Monday,May,0,2011
13.7,4.536470367247521,1,10,Wednesday,December,0,2009
4.0,0.7351294434936421,5,15,Friday,February,0,2013
11.0,2.437219452259502,2,14,Wednesday,April,0,2013
6.9,2.1648214386661837,1,7,Sunday,June,1,2012
8.0,1.4177434805334703,1,13,Friday,May,0,2013
4.0,0.5333625345896481,6,14,Sunday,January,1,2015
41.83,9.83658505171886,1,10,Tuesday,January,0,2014
7.0,1.5720538375587767,1,19,Thursday,October,0,2012
12.5,4.945701865514341,1,12,Tuesday,August,0,2009
6.9,2.2037689104630886,5,10,Saturday,October,1,2010
8.1,2.895180386450194,1,15,Sunday,May,1,2011
8.9,2.5268504085521535,1,16,Friday,August,0,2012
4.5,1.0242240571536465,1,22,Wednesday,February,0,2015
24.9,6.607048722720024,5,18,Wednesday,October,0,2011
6.9,2.456534861841981,1,8,Thursday,September,0,2009
8.9,3.8533291233653313,1,1,Saturday,June,1,2010
12.5,4.633027487441374,4,6,Tuesday,January,0,2012
9.5,2.41828934243276,1,21,Wednesday,November,0,2012
8.1,2.3150636124096247,2,19,Monday,July,0,2011
4.0,1.078931282340887,1,2,Saturday,April,1,2014
26.5,5.153218602828579,1,13,Wednesday,July,0,2013
9.3,3.4097677971251477,1,11,Sunday,April,1,2010
4.5,0.6136889526145065,2,3,Sunday,December,1,2011
6.5,2.434924515269169,1,22,Monday,March,0,2009
6.5,1.661576821872407,1,19,Thursday,February,0,2013
11.0,2.7580753293955262,1,9,Friday,October,0,2012
24.0,9.013187051687346,1,22,Friday,December,0,2013
5.0,1.179428219629347,6,10,Tuesday,September,0,2013
3.0,0.2858659038030215,2,2,Monday,April,0,2015
12.5,4.039310698211854,1,7,Wednesday,October,0,2014
14.5,5.82776420239619,1,14,Wednesday,April,0,2012
16.5,4.4135040875606055,3,22,Wednesday,June,0,2012
6.5,1.3544136617915257,2,12,Thursday,September,0,2012
8.1,2.918436428987005,2,18,Monday,April,0,2011
27.5,10.573485640839639,1,8,Saturday,February,1,2013
8.0,2.0630348645752514,3,15,Monday,January,0,2013
7.3,2.0243946018555947,1,7,Tuesday,December,0,2010
22.9,10.050154142019148,6,4,Saturday,June,1,2012
9.7,4.478113528939062,1,23,Thursday,January,0,2010
6.5,1.952656469758319,2,23,Thursday,November,0,2010
12.5,3.333309665541189,1,20,Saturday,November,1,2014
11.5,3.812583728216489,6,12,Friday,May,0,2013
15.0,2.959234664134883,2,17,Friday,May,0,2015
4.5,0.7607916059674772,5,21,Thursday,October,0,2011
7.3,2.199125973829076,1,11,Tuesday,November,0,2011
8.1,2.9409087870310793,1,10,Tuesday,April,0,2009
10.1,3.9248613656031126,1,21,Monday,April,0,2010
8.9,4.251462671447572,1,4,Saturday,November,1,2010
12.0,2.6560906647040774,1,16,Tuesday,January,0,2015
19.5,4.203245321554728,1,8,Friday,November,0,2014
9.3,1.951224852452588,2,16,Sunday,November,1,2009
